Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present
VA Long Beach Healthcare System,CA,Healthcare Provider,592,7/4/2014,Unauthorized Access/Disclosure,Paper/Films,No
D&J Optical Inc. ,AL,Health Plan,1100,7/7/2014,Hacking/IT Incident,Desktop Computer,No
Montana Department of Public Health & Human Services,MT,Health Plan,1062509,7/7/2014,Hacking/IT Incident,Network Server,No
Highmark Inc.,PA,Business Associate,2589,7/8/2014,Theft,Paper/Films,Yes
Haley Chiropractic Clinic,WA,Healthcare Provider,6000,7/8/2014,Theft,"Desktop Computer, Laptop",No
"St. Vincent Hospital and Health Care Center, Inc.",IN,Business Associate,63325,7/9/2014,Unauthorized Access/Disclosure,Paper/Films,Yes
"InSync Computer Solutions, Inc.",AL,Business Associate,50918,7/11/2014,Other,Network Server,Yes
Western Regional Center for Brain and Spine Surgery,NV,Healthcare Provider,12000,7/12/2014,Theft,Network Server,No
Indian Health Service -Rosebud,MD,Healthcare Provider,620,7/15/2014,Loss,Paper/Films,No
University of Pennsylvania Health System,PA,Healthcare Provider,661,7/16/2014,Theft,Paper/Films,No
Bay Area Pain Medical Associates ,CA,Healthcare Provider,2780,7/16/2014,Theft,Desktop Computer,No
Minneapolis VA Health Care System,MN,Health Plan,500,7/17/2014,Unauthorized Access/Disclosure,Paper/Films,No
Administracion de Seguros de Salud - Triple S Salud Inc (BA),,Health Plan,7911,7/18/2014,Unauthorized Access/Disclosure,Other Portable Electronic Device,No
Midwest Orthopaedic Center SC,IL,,680,7/23/2014,Unauthorized Access/Disclosure,Network Server,Yes
Xand Corporation,NY,Business Associate,3334,7/23/2014,Other,Network Server,Yes
Self Regional Healthcare ,SC,Healthcare Provider,38906,7/25/2014,Theft,Laptop,No
"Urological Associates of Southern Arizona, P.C.",AZ,Healthcare Provider,3529,7/25/2014,Improper Disposal,Other,No
Dr. Veronica Joann Barber,CA,Business Associate,4000,7/28/2014,Unauthorized Access/Disclosure,Network Server,Yes
"PRN Medical Services, LLC dba Symbius Medical, LLC",AZ,Healthcare Provider,13877,7/29/2014,"Other, Theft, Unauthorized Access/Disclosure","Email, Network Server",No
Midwest Urological Group,IL,Healthcare Provider,982,7/30/2014,Theft,Laptop,No
Rite Aid Store 5256,WA,Healthcare Provider,522,7/30/2014,Theft,Paper/Films,No
"StayWell Health Management, LLC",MN,Business Associate,4487,7/31/2014,Hacking/IT Incident,Network Server,Yes
Cancer Specialists of Tidewater,VA,Healthcare Provider,2318,7/31/2014,Theft,"Electronic Medical Record, Other",No
MobilexUSA,OH,Healthcare Provider,605,8/6/2014,Loss,Paper/Films,No
Jersey City Medical Center - Barnabas Health,NJ,Healthcare Provider,36400,8/7/2014,Loss,Other,No
Diamond Computing Company,GA,Business Associate,7016,8/7/2014,Unauthorized Access/Disclosure,Network Server,Yes
Central Utah Clinic,UT,Healthcare Provider,31677,8/7/2014,Hacking/IT Incident,Network Server,No
"PST Services Inc, a McKesson Co.",GA,Business Associate,10104,8/8/2014,Hacking/IT Incident,Network Server,Yes
Onsite Health Diagnostics (OHD),TX,Business Associate,60582,8/8/2014,Hacking/IT Incident,Network Server,Yes
Apple Valley Care Center,CA,Healthcare Provider,1251,8/12/2014,Hacking/IT Incident,Network Server,No
Kaiser Foundation Health Plan of Colorado,CO,Health Plan,11551,8/12/2014,"Other, Unauthorized Access/Disclosure",Other,No
"CareAll Management, LLC",TN,Healthcare Provider,28300,8/12/2014,Improper Disposal,Other,No
Iron Mountain Records Management,CA,Business Associate,1674,8/13/2014,"Improper Disposal, Loss, Theft",Other,Yes
"24 ON Physicians, PC/In Compass Health,Inc.",GA,Business Associate,520,8/14/2014,"Hacking/IT Incident, Other",Network Server,Yes
Iron Mountain Incorporated,MA,Business Associate,10000,8/15/2014,"Loss, Theft",Paper/Films,Yes
Iron Mountain,CA,Business Associate,49714,8/15/2014,"Improper Disposal, Loss, Theft",Paper/Films,Yes
Children's Mercy Hospital,MO,,4067,8/15/2014,Hacking/IT Incident,Network Server,Yes
University Health,LA,Healthcare Provider,6073,8/15/2014,Hacking/IT Incident,Network Server,No
Tri-City Medical Center,CA,Healthcare Provider,500,8/18/2014,Theft,Paper/Films,No
Dennis Flynn MD,IL,Healthcare Provider,13646,8/19/2014,Theft,Laptop,No
Community Health Systems Professional Services Corporation,TN,Business Associate,4500000,8/20/2014,Theft,Network Server,Yes
Oklahoma City Indian Clinic,OK,Healthcare Provider,6000,8/22/2014,Unauthorized Access/Disclosure,Email,No
"Steven A. Goldman, MD Inc.",OH,Healthcare Provider,6141,8/22/2014,Theft,Network Server,No
Specialty Clinics Of Georgia - Orthopaedics,GA,Healthcare Provider,2350,8/25/2014,Theft,Paper/Films,No
St. Elizabeth's Medical Center,MA,Healthcare Provider,595,8/26/2014,Theft,"Laptop, Other Portable Electronic Device",No
Aventura Hospital and Medical Center,FL,Healthcare Provider,948,8/26/2014,Theft,Desktop Computer,No
Midwest Womens Healthcare Specialist,MO,Healthcare Provider,1376,8/26/2014,Improper Disposal,Paper/Films,No
Group Health Incorporated,NY,Health Plan,802,8/27/2014,Unauthorized Access/Disclosure,Paper/Films,No
"The Longstreet Clinic, P. C.",GA,Healthcare Provider,720,8/28/2014,Improper Disposal,Other,No
Metropolitan Government of Nashville and Davidson County (Metro) Public Health Department,TN,Health Plan,1717,8/29/2014,Other,Other,No
Duke University Health System,NC,Healthcare Provider,10993,8/29/2014,Theft,Other Portable Electronic Device,No
Memorial Hermann Health System,TX,Healthcare Provider,10604,8/29/2014,Unauthorized Access/Disclosure,Desktop Computer,No
AltaMed Health Services Corporation,CA,Healthcare Provider,3206,8/29/2014,Theft,"Desktop Computer, Network Server, Paper/Films",No
"Bulloch Pediatric Group, LLC",GA,Healthcare Provider,10000,9/4/2014,Unauthorized Access/Disclosure,Paper/Films,No
Emdeon,TN,Business Associate,566,9/4/2014,Theft,Paper/Films,Yes
Temple University Physicians,PA,Healthcare Provider,3780,9/5/2014,Theft,Desktop Computer,No
The WellPoint Affiliated Covered Entities  ,IN,Health Plan,1464,9/8/2014,Unauthorized Access/Disclosure,Paper/Films,No
"Thomas Cristello, Chiropractor PC",NY,Healthcare Provider,914,9/9/2014,Loss,Other Portable Electronic Device,No
"ENT Partners of Texas (legally known as Irving-Coppell Ear, Nose and Throat) ",TX,Healthcare Provider,789,9/9/2014,"Loss, Theft","Laptop, Other Portable Electronic Device",No
Bon Secours Kentucky,KY,Healthcare Provider,697,9/9/2014,Unauthorized Access/Disclosure,Other,No
Valesco Ventures,FL,Business Associate,82601,9/9/2014,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record,Yes
Wm. Jennings Bryan Dorn VA Medical Center,SC,Healthcare Provider,3637,9/10/2014,Unauthorized Access/Disclosure,Paper/Films,No
Kmart Corporation,IL,Healthcare Provider,1866,9/10/2014,Unauthorized Access/Disclosure,Paper/Films,No
"Xerox State Healthcare, LLC",TX,Business Associate,2000000,9/10/2014,Unauthorized Access/Disclosure,"Desktop Computer, Email, Laptop, Network Server, Other, Other Portable Electronic Device",Yes
Cedars-Sinai Health System,CA,Healthcare Provider,33136,9/10/2014,Theft,Laptop,No
Tampa General Hospital,FL,Healthcare Provider,675,9/12/2014,Unauthorized Access/Disclosure,Electronic Medical Record,No
Santa Fe Medical Group,NM,Healthcare Provider,843,9/12/2014,Theft,Other Portable Electronic Device,No
Emdeon,TN,Business Associate,800,9/12/2014,Theft,Paper/Films,Yes
South Suburban HIV/AIDS Regional Clinics,IL,Business Associate,767,9/17/2014,Other,Email,Yes
New Mexico VA Health Care System,NM,Healthcare Provider,2657,9/18/2014,Unauthorized Access/Disclosure,Paper/Films,No
"Research Integrity, LLC",KY,Business Associate,4077,9/22/2014,Unauthorized Access/Disclosure,Other Portable Electronic Device,Yes
Madison Street Provider Network,CO,Healthcare Provider,523,9/26/2014,Theft,Laptop,No
"Compassionate Care Hospice of Central Louisiana, LLC",LA,Healthcare Provider,707,9/26/2014,Theft,"Laptop, Other",No
"American Family Care, Inc.",AL,Healthcare Provider,2588,9/30/2014,Theft,Laptop,No
"U.S. Health Holdings, Ltd. o/b/o Macomb County, Michigan",MI,Health Plan,6302,10/1/2014,Unauthorized Access/Disclosure,Other,No
Mount Sinai Beth Israel,NY,Healthcare Provider,10793,10/3/2014,Theft,Laptop,No
"Touchstone Medical Imaging, LLC",TN,Healthcare Provider,307528,10/3/2014,Unauthorized Access/Disclosure,Network Server,No
Albertina Kerr Centers,OR,Healthcare Provider,1320,10/6/2014,Theft,Laptop,No
Vcarve LLC d/b/a MD Manage,NJ,Business Associate,585,10/6/2014,Unauthorized Access/Disclosure,Network Server,Yes
VARO Healthcare,PA,Business Associate,1667,10/7/2014,Unauthorized Access/Disclosure,Paper/Films,Yes
vonica chau DDS PA,TX,Healthcare Provider,810,10/8/2014,Theft,Desktop Computer,No
University of California Davis Medical Center,CA,Healthcare Provider,1326,10/8/2014,Hacking/IT Incident,Email,No
South Texas Veterans Health Care System,TX,Healthcare Provider,4000,10/9/2014,Unauthorized Access/Disclosure,Paper/Films,No
Cone Health Medical Group,NC,Healthcare Provider,1872,10/9/2014,Unauthorized Access/Disclosure,Paper/Films,No
Region Six of the Georgia Department of Behavioral Health and Developmental Disabilities,GA,Healthcare Provider,3397,10/9/2014,Theft,Laptop,No
NYU Urology Associates,NY,Healthcare Provider,835,10/10/2014,Unauthorized Access/Disclosure,Other Portable Electronic Device,No
Colorado Department of Health Care Policy & Financing,CO,Health Plan,15380,10/10/2014,Unauthorized Access/Disclosure,Other,Yes
M&M Computer Services,TX,Business Associate,4500,10/10/2014,Hacking/IT Incident,Network Server,Yes
New York City Health & Hospitals Corporation,NY,Healthcare Provider,10058,10/10/2014,Unauthorized Access/Disclosure,Paper/Films,No
Southwest Virginia Physicians for Women,VA,Healthcare Provider,568,10/10/2014,"Theft, Unauthorized Access/Disclosure",Paper/Films,No
City of Dallas Fire-Rescue Department,TX,Healthcare Provider,1000,10/15/2014,Theft,Laptop,No
Graybill Medical Group,CA,Healthcare Provider,1863,10/15/2014,Theft,Other,No
MD Manage (Vcarve LLC),NJ,Business Associate,35357,10/22/2014,Unauthorized Access/Disclosure,Network Server,Yes
"Seven Counties Services, Inc.",KY,Healthcare Provider,727,10/22/2014,"Improper Disposal, Unauthorized Access/Disclosure",Paper/Films,No
"Quraishi, Nisar A ",NY,Healthcare Provider,20000,10/22/2014,Theft,Paper/Films,No
"Multilingual Psychotherapy Centers, Inc",FL,Healthcare Provider,3500,10/28/2014,Theft,Network Server,No
Burlington Northern Santa Fe Group Benefits Plan,TX,Health Plan,507,10/28/2014,Loss,Other Portable Electronic Device,No
Portland VA Medical Center,OR,Healthcare Provider,1740,10/29/2014,Theft,Paper/Films,No
Memorial Healthcare System,FL,Healthcare Provider,1782,10/30/2014,Unauthorized Access/Disclosure,Email,No
Coordinated Health ,PA,Healthcare Provider,13907,10/31/2014,Theft,Laptop,No
"Jessie Trice Community Health Center, Inc.",FL,Healthcare Provider,7888,11/3/2014,Theft,"Desktop Computer, Network Server",No
"Central Dermatology Center, P.A.",NC,Healthcare Provider,76258,11/7/2014,Theft,Network Server,No
Weill Cornell Medical College,NY,Healthcare Provider,3936,11/7/2014,Theft,"Electronic Medical Record, Laptop",No
Visionworks Inc.,TX,Health Plan,74944,11/10/2014,Loss,Network Server,No
"Indian Health Service, Aberdeen Area Office",SD,,,11/13/2014,,,No
Loi Luu,CA,Healthcare Provider,13177,11/14/2014,Theft,Network Server,No
Iron Mountain,CA,Business Associate,2691,11/14/2014,Theft,Paper/Films,Yes
Colorado River Indian Tribes,AZ,Healthcare Provider,1296,11/14/2014,Other,Email,No
REEVE-WOODS EYE CENTER,CA,Healthcare Provider,30000,11/15/2014,Theft,Network Server,No
Brigham and Women's Hospital,MA,Healthcare Provider,999,11/17/2014,Theft,"Laptop, Other Portable Electronic Device",No
Kirkbride Center,PA,Healthcare Provider,860,11/19/2014,Theft,Paper/Films,No
"MetroPlus Health Plan, Inc.",NY,Health Plan,31980,11/20/2014,Other,Email,No
"Baptist Primary Care, Inc.",FL,Healthcare Provider,1449,11/20/2014,Unauthorized Access/Disclosure,Electronic Medical Record,No
Visionworks Inc.,TX,Health Plan,47683,11/21/2014,Theft,Network Server,No
True Vision Eyecare,OH,Healthcare Provider,542,11/21/2014,Theft,Laptop,No
AdminisTEP,TX,Business Associate,4469,11/25/2014,Unauthorized Access/Disclosure,Paper/Films,Yes
Northfield Hospital & Clinics,MN,Healthcare Provider,1778,11/25/2014,Improper Disposal,Paper/Films,No
"Computer Programs and Systems, Inc. ",AL,Business Associate,25764,11/26/2014,Theft,Network Server,Yes
North Big Horn Hospital,WY,Healthcare Provider,1607,12/1/2014,Loss,Paper/Films,No
The Hearing Zone,UT,Healthcare Provider,623,12/5/2014,Theft,Laptop,No
Florida Department of Health,FL,Healthcare Provider,2477,12/8/2014,Other,Email,No
ReachOut Home Care [Case #16687],KY,Healthcare Provider,4500,12/9/2014,Theft,Laptop,No
Sony Pictures Entertainment Health and Welfare Benefits Plan (the Plan),CA,Health Plan,30000,12/12/2014,Hacking/IT Incident,"Desktop Computer, Laptop, Network Server",No
"District Medical Group, Privacy Manager Breach",AZ,Healthcare Provider,616,12/12/2014,Unauthorized Access/Disclosure,Other Portable Electronic Device,No
Clay County Hospital,IL,Healthcare Provider,12621,12/12/2014,Unauthorized Access/Disclosure,Other,No
St. Mary Mercy Hospital,MI,Healthcare Provider,1488,12/12/2014,Unauthorized Access/Disclosure,Email,No
Walgreen Co.,IL,Healthcare Provider,160000,12/15/2014,Other,Paper/Films,No
Pediatric Gastroenterology Consultants,CO,Healthcare Provider,5000,12/19/2014,Theft,Laptop,No
"The Corvallis Clinic, P.C.",OR,Healthcare Provider,41000,12/19/2014,Theft,Laptop,No
"Mercy Medical Center Redding - Oncology Clinic, Privacy Manager Breach",CA,Healthcare Provider,,12/22/2014,Hacking/IT Incident,Other,No
Northwestern Memorial HealthCare,IL,,,12/23/2014,,,No
Independence Blue Cross and AmeriHealth New Jersey ,PA,Health Plan,12450,12/26/2014,Improper Disposal,Paper/Films,No
"Murali Menon, Privacy Manager Breach",CA,Healthcare Provider,,12/30/2014,Theft,"Laptop, Other Portable Electronic Device, Paper/Films",No
mdINR LLC,FL,Healthcare Provider,1859,1/5/2015,Unauthorized Access/Disclosure,Email,No
VA Corporate Data Center Operations/Austin Information Technology Center ,TX,Healthcare Provider,7029,1/7/2015,Hacking/IT Incident,Network Server,No
Saint Louis County Department of Health,MO,Healthcare Provider,4000,1/7/2015,Unauthorized Access/Disclosure,"Email, Network Server",No
"Aspire Indiana, Inc.",IN,Healthcare Provider,43890,1/7/2015,Theft,Laptop,No
Henry Ford Health System,MI,,,1/9/2015,,,No
Children's Eyewear Sight,CA,Healthcare Provider,1030,1/12/2015,Theft,Desktop Computer,No
Tennessee Rural Health Improvement Association,TN,Health Plan,79000,1/13/2015,Unauthorized Access/Disclosure,Other,No
University Hospitals,OH,Healthcare Provider,833,1/15/2015,Unauthorized Access/Disclosure,Electronic Medical Record,No
National Pain Institute,FL,Healthcare Provider,500,1/15/2015,Improper Disposal,"Desktop Computer, Laptop",No
"Rainier Surgical, Incorporated",TX,Healthcare Provider,4920,1/16/2015,Theft,Paper/Films,No
St. Peter's Health Partners,NY,Healthcare Provider,5117,1/23/2015,Theft,Other Portable Electronic Device,No
"Ronald D. Garrett-Roe, MD",TX,Healthcare Provider,1600,1/23/2015,Hacking/IT Incident,Desktop Computer,No
California Pacific Medical Center ,CA,Healthcare Provider,845,1/23/2015,Unauthorized Access/Disclosure,Electronic Medical Record,No
Diana S. Guth DBA Home Respiratory Care,CA,Healthcare Provider,1285,1/28/2015,Unauthorized Access/Disclosure,Email,No
David E. Hansen DDS PS ,WA,Healthcare Provider,2000,1/29/2015,Theft,"Other Portable Electronic Device, Paper/Films",No
"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",MD,Health Plan,630,1/29/2015,Unauthorized Access/Disclosure,Paper/Films,No
Riverside County Regional Medical Center,CA,Healthcare Provider,7925,1/29/2015,Theft,Laptop,No
"North Dallas Urogynecology, PLLC.",TX,Healthcare Provider,678,1/29/2015,Theft,Laptop,No
"UMass Memorial Medical Group, Inc.",MA,Healthcare Provider,14100,1/30/2015,Theft,Other,No
Boston Baskin Cancer Foundation,TN,Healthcare Provider,56694,2/2/2015,Theft,Other Portable Electronic Device,No
South Sunflower County Hospital,MS,Healthcare Provider,19000,2/4/2015,Improper Disposal,Paper/Films,No
Planned Parenthood Southwest Ohio,OH,Healthcare Provider,5000,2/5/2015,Improper Disposal,Paper/Films,No
"Senior Health Partners, a Healthfirst company",NY,Health Plan,2772,2/6/2015,Theft,"Laptop, Other Portable Electronic Device",No
"Tomas, Arturo",IL,Business Associate,680,2/9/2015,Loss,Paper/Films,Yes
Haywood County NC,NC,Healthcare Provider,955,2/9/2015,Loss,Paper/Films,No
Courier Corporation of Hawaii,HI,Business Associate,2809,2/11/2015,Loss,Paper/Films,No
Pathway to Hope,FL,Healthcare Provider,600,2/12/2015,Unauthorized Access/Disclosure,Email,No
Anthem (Working file),IN,Health Plan,,2/13/2015,Hacking/IT Incident,Network Server,No
Hunt Regional Medical Partners,TX,Healthcare Provider,3000,2/18/2015,Unauthorized Access/Disclosure,Other,No
Marketing Clique,TX,Health Plan,8700,2/20/2015,Unauthorized Access/Disclosure,Other,No
Children's National Medical Center,DC,Healthcare Provider,18000,2/24/2015,Hacking/IT Incident,Email,No
"Raymond Mark Turner, M.D.",NV,Healthcare Provider,2153,2/26/2015,Theft,Laptop,No
"St.Vincent Hospital and Health Care Center, Inc.",IN,Healthcare Provider,63325,2/27/2015,Unauthorized Access/Disclosure,Paper/Films,No
"Cathrine Steinborn, DDS",CA,Healthcare Provider,3224,2/27/2015,Theft,Network Server,No
Aventura Hospital and Medical Center,FL,Healthcare Provider,686,2/27/2015,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record",No
Amedisys,LA,Healthcare Provider,6909,3/1/2015,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record, Laptop",No
Advance Rehabilitation & Consulting LTD,GA,Healthcare Provider,570,3/2/2015,Hacking/IT Incident,Network Server,No
Georgia Department of Community Health ,GA,Health Plan,557779,3/2/2015,Hacking/IT Incident,Network Server,No
Georgia Department of Community Health ,GA,Health Plan,355127,3/2/2015,Hacking/IT Incident,Network Server,No
"Clinical Reference Laboratory, Inc.",KS,Healthcare Provider,4668,3/3/2015,Loss,Paper/Films,No
St. Mary's Health,IN,Healthcare Provider,3952,3/5/2015,Hacking/IT Incident,Email,No
Mosaic Medical,OR,Healthcare Provider,2207,3/5/2015,Unauthorized Access/Disclosure,Paper/Films,No
Sharon J. Jones M.D.,CA,Healthcare Provider,1342,3/5/2015,Theft,Paper/Films,Yes
Valley COmmunity Healthcare,CA,Healthcare Provider,1233,3/6/2015,Loss,Laptop,No
Indiana State Medical Association,IN,Health Plan,38351,3/6/2015,Theft,Other Portable Electronic Device,No
San Franciso General Hospital and Trauma Center,CA,Healthcare Provider,2500,3/6/2015,Theft,Other,No
Dr. Anthony T. R. Green DDS,NY,Healthcare Provider,7448,3/11/2015,Unauthorized Access/Disclosure,"Other, Paper/Films",No
Virginia Department of Medical Assistance Services (VA-DMAS),VA,Health Plan,697586,3/12/2015,Hacking/IT Incident,Network Server,No
"Anthem, Inc. Affiliated Covered Entity",IN,Health Plan,78800000,3/13/2015,Hacking/IT Incident,Network Server,No
EyeCare of Bartlesville,OK,Healthcare Provider,4000,3/13/2015,Hacking/IT Incident,"Desktop Computer, Network Server",No
"Sacred Heart Health System, Inc.",FL,Healthcare Provider,14177,3/16/2015,Hacking/IT Incident,Email,No
Premera Blue Cross,WA,Health Plan,11000000,3/17/2015,Hacking/IT Incident,Network Server,No
Blue Cross Blue Shield of Michigan ,MI,Health Plan,3903,3/17/2015,Theft,Paper/Films,No
Advantage Consolidated LLC,OR,Healthcare Provider,151626,3/18/2015,Hacking/IT Incident,Other,No
Career Education Corporation,IL,Health Plan,2743,3/19/2015,Hacking/IT Incident,Network Server,No
Kane Hall Barry Neurology,TX,Healthcare Provider,600,3/19/2015,Theft,Laptop,No
Community Health Network,IN,Healthcare Provider,650,3/20/2015,Loss,Paper/Films,No
Florida Hospital,FL,Healthcare Provider,8700,3/20/2015,Unauthorized Access/Disclosure,Other,No
Mount Sinai Medical Center,FL,Healthcare Provider,1406,3/20/2015,Unauthorized Access/Disclosure,Paper/Films,No
Life Care Center of Attleboro,MA,Healthcare Provider,2473,3/20/2015,Loss,Paper/Films,No
AT&T Group Health Plan,TX,Health Plan,50000,3/23/2015,Hacking/IT Incident,Network Server,No
Freelancers Insurance Company,NY,Health Plan,43068,3/24/2015,Hacking/IT Incident,Network Server,No
Pediatric Associates,FL,Healthcare Provider,627,3/24/2015,Loss,Paper/Films,No
McDermott Will & Emery LLP is the plan sponsor for the McDermott medical plan,IL,Health Plan,880,3/24/2015,Hacking/IT Incident,Network Server,No
"7-Eleven, Inc. Comprehensive Welfare Benefits Plan No. 525",TX,Health Plan,1688,3/25/2015,Hacking/IT Incident,Network Server,No
New,FL,Health Plan,500,3/27/2015,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Email, Network Server",No
Project Vida Health Center,TX,Healthcare Provider,7700,3/27/2015,Theft,Network Server,No
"Triple S Advantage, Inc",,Health Plan,1458,3/31/2015,Unauthorized Access/Disclosure,Other,No
VA Eastern Colorado Health Care System(ECHCS),CO,Healthcare Provider,508,4/2/2015,Unauthorized Access/Disclosure,Paper/Films,No
Cigna-HealthSpring,TN,Health Plan,862,4/2/2015,Unauthorized Access/Disclosure,Paper/Films,No
Schaeffler Group USA,SC,Health Plan,550,4/2/2015,Hacking/IT Incident,Network Server,No
PIH Health Hospital - Whittier,CA,Healthcare Provider,826,4/2/2015,Theft,Paper/Films,No
CDC/NIOSH World Trade Center Health Program (WTCHP),GA,Health Plan,958,4/2/2015,Unauthorized Access/Disclosure,Paper/Films,No
City of Philadelphia Fire Department Emergency Medical Services Unit,PA,Healthcare Provider,81463,4/2/2015,Unauthorized Access/Disclosure,"Desktop Computer, Paper/Films",No
Western Montana Clinic,MT,Healthcare Provider,7038,4/2/2015,Hacking/IT Incident,Other,No
Tulare County Health & Human Services Agency,CA,Healthcare Provider,845,4/2/2015,Unauthorized Access/Disclosure,Email,No
Children's Heart Center,NV,Healthcare Provider,8791,4/3/2015,Unauthorized Access/Disclosure,Electronic Medical Record,No
Health Plan sponsored by Covenant Ministries of Benevolance,IL,Health Plan,782,4/3/2015,Hacking/IT Incident,Network Server,No
SUPERVALU Group Health Plan,MN,Health Plan,10946,4/3/2015,Hacking/IT Incident,Network Server,No
"Elizabeth Kerner, M.D.",TX,Healthcare Provider,873,4/3/2015,Unauthorized Access/Disclosure,Email,No
Allina Health,MN,Healthcare Provider,838,4/6/2015,Unauthorized Access/Disclosure,Paper/Films,No
ADT LLC Group Health & Welfare Plan,FL,Health Plan,3074,4/7/2015,Hacking/IT Incident,Network Server,No
"International Union of Operating Engineers Local Unions 181, 320 & TVA Health and Welfare Trust Fund",KY,Health Plan,5440,4/9/2015,Hacking/IT Incident,Network Server,No
Denton County Health Department,TX,Healthcare Provider,874,4/9/2015,Unauthorized Access/Disclosure,Other Portable Electronic Device,No
"St.Vincent Medical Group, Inc.",IN,Healthcare Provider,756,4/10/2015,Hacking/IT Incident,Email,No
New York State Office of Mental Health Nathan S. Kline Institute for Psychiatric Research,NY,Healthcare Provider,563,4/10/2015,Loss,Laptop,No
Suburban Lung Associates,IL,Healthcare Provider,2984,4/13/2015,Unauthorized Access/Disclosure,Paper/Films,No
Concordia Plan Services on behalf of the Concordia Health Plan,MO,Health Plan,12500,4/16/2015,Hacking/IT Incident,Network Server,No
American Sleep Medicine,CA,Healthcare Provider,1787,4/16/2015,Theft,Other,No
Jersey City Medical Center,NJ,Healthcare Provider,1447,4/17/2015,Unauthorized Access/Disclosure,Email,No
Puerto Rico Department of Heatlh - Medicaid Program,,Health Plan,500,4/22/2015,Theft,Desktop Computer,No
CompuNet Clinical Laboratories,OH,Healthcare Provider,2584,4/23/2015,Loss,Paper/Films,No
"Saint Agnes Health Care, Inc.",MD,Healthcare Provider,24967,4/24/2015,Hacking/IT Incident,Email,No
Seton Family of Hospitals,TX,Healthcare Provider,39000,4/24/2015,Hacking/IT Incident,Email,No
Wellmont Health System,TN,Healthcare Provider,1726,4/24/2015,Improper Disposal,"Other, Paper/Films",No
Community Mercy Health Partners,OH,Healthcare Provider,2000,4/27/2015,Unauthorized Access/Disclosure,Paper/Films,No
"CEMEX, Inc.",TX,Health Plan,880,4/27/2015,Hacking/IT Incident,Network Server,No
"Clinical Reference Laboratory, Inc.",KS,Healthcare Provider,864,4/28/2015,Loss,Paper/Films,No
University of Illinois at Chicago,IL,Healthcare Provider,3000,4/28/2015,Theft,Laptop,No
"Consolidated Tribal Health Project, Inc. ",CA,Healthcare Provider,4885,4/28/2015,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server, Other Portable Electronic Device",No
Bellevue Hospital Center,NY,Healthcare Provider,3334,4/28/2015,Unauthorized Access/Disclosure,Email,No
Jacobi Medical Center,NY,Healthcare Provider,90060,4/28/2015,Unauthorized Access/Disclosure,Email,No
County of Los Angeles ,CA,Healthcare Provider,880,4/29/2015,Theft,Paper/Films,No
"Partners HealthCare System, Inc.",MA,Healthcare Provider,3321,5/1/2015,Hacking/IT Incident,Network Server,No
Walgreen Co.,IL,Healthcare Provider,1138,5/1/2015,Loss,Paper/Films,No
Ventura County Health Care Agency,CA,Healthcare Provider,1339,5/6/2015,Loss,Paper/Films,No
"Unity Recovery Group, Inc.,Starting Point Detox LLC, Lakeside Treatment Center LLC, Changing Tides Transitional Living LLC, Unity Recovery Center, Inc",FL,Healthcare Provider,1000,5/11/2015,Unauthorized Access/Disclosure,"Email, Network Server, Other Portable Electronic Device",No
UPMC,PA,Healthcare Provider,2259,5/15/2015,Theft,Other,No
"Medical Management, LLC (MML)",NC,Business Associate,20512,5/15/2015,Theft,Other,Yes
Duke LifePoint Conemaugh Memorial Medical Center,PA,Healthcare Provider,1551,5/15/2015,Theft,Desktop Computer,No
The MetroHealth System,OH,Healthcare Provider,981,5/15/2015,Hacking/IT Incident,Desktop Computer,No
Aflac,GA,Health Plan,6166,5/15/2015,Unauthorized Access/Disclosure,Paper/Films,No
Associated Dentists,MN,Healthcare Provider,4725,5/18/2015,Theft,Laptop,No
Alexian Brothers Medical Center,IL,Healthcare Provider,632,5/19/2015,Unauthorized Access/Disclosure,Desktop Computer,No
"Sharon J. Jones, M.D.",CA,,1342,5/19/2015,Theft,"Desktop Computer, Laptop, Paper/Films",Yes
"Success 4 Kids & Families, Inc.",FL,Healthcare Provider,506,5/20/2015,Theft,Laptop,No
CareFirst BlueCross BlueShield,MD,Health Plan,1100000,5/20/2015,Hacking/IT Incident,Network Server,No
Thomas H. Boyd Memorial Hospital,IL,Healthcare Provider,8300,5/21/2015,Unauthorized Access/Disclosure,Paper/Films,No
Beacon Health System,IN,Healthcare Provider,306789,5/22/2015,Hacking/IT Incident,Email,No
University of Rochester Medical Center & Affiliates,NY,Healthcare Provider,3403,5/22/2015,Unauthorized Access/Disclosure,Paper/Films,No
BUFFALO HEART GROUP,NY,Healthcare Provider,567,5/28/2015,Unauthorized Access/Disclosure,Electronic Medical Record,No
Metropolitan Hospital Center,NY,Healthcare Provider,3957,6/1/2015,Unauthorized Access/Disclosure,Email,No
Oregon's Health CO-OP,OR,Health Plan,14000,6/1/2015,Theft,Laptop,No
